product,period,scenario,optimal_overage
p1,1,scenario_1,0.0
p2,1,scenario_1,0.0
p3,1,scenario_1,1.2244898
p1,2,scenario_1,26.0
p2,2,scenario_1,0.0
p3,2,scenario_1,12.561224
p1,3,scenario_1,0.0
p2,3,scenario_1,22.0
p3,3,scenario_1,49.642857
p1,4,scenario_1,0.0
p2,4,scenario_1,0.0
p3,4,scenario_1,0.0
p1,5,scenario_1,0.0
p2,5,scenario_1,56.0
p3,5,scenario_1,6.0
p1,6,scenario_1,20.388889
p2,6,scenario_1,0.0
p3,6,scenario_1,0.0
p1,7,scenario_1,18.4
p2,7,scenario_1,32.0
p3,7,scenario_1,8.0
p1,8,scenario_1,37.0
p2,8,scenario_1,0.0
p3,8,scenario_1,0.0
p1,9,scenario_1,14.0
p2,9,scenario_1,26.789474
p3,9,scenario_1,36.0
p1,10,scenario_1,0.0
p2,10,scenario_1,0.0
p3,10,scenario_1,16.642857
p1,11,scenario_1,0.0
p2,11,scenario_1,0.0
p3,11,scenario_1,55.0
p1,12,scenario_1,0.0
p2,12,scenario_1,12.0
p3,12,scenario_1,58.959184
p1,1,scenario_2,0.0
p2,1,scenario_2,0.0
p3,1,scenario_2,0.0
p1,2,scenario_2,26.0
p2,2,scenario_2,5.0
p3,2,scenario_2,0.0
p1,3,scenario_2,14.0
p2,3,scenario_2,0.0
p3,3,scenario_2,69.642857
p1,4,scenario_2,0.0
p2,4,scenario_2,0.0
p3,4,scenario_2,14.581633
p1,5,scenario_2,20.922222
p2,5,scenario_2,26.0
p3,5,scenario_2,0.0
p1,6,scenario_2,0.0
p2,6,scenario_2,0.0
p3,6,scenario_2,27.0
p1,7,scenario_2,4.4
p2,7,scenario_2,57.0
p3,7,scenario_2,64.0
p1,8,scenario_2,47.0
p2,8,scenario_2,12.0
p3,8,scenario_2,0.0
p1,9,scenario_2,0.0
p2,9,scenario_2,30.789474
p3,9,scenario_2,0.0
p1,10,scenario_2,0.0
p2,10,scenario_2,0.0
p3,10,scenario_2,0.0
p1,11,scenario_2,0.0
p2,11,scenario_2,16.0
p3,11,scenario_2,0.0
p1,12,scenario_2,15.0
p2,12,scenario_2,0.0
p3,12,scenario_2,8.9591837
p1,1,scenario_3,6.0
p2,1,scenario_3,20.0
p3,1,scenario_3,15.22449
p1,2,scenario_3,0.0
p2,2,scenario_3,0.0
p3,2,scenario_3,7.5612245
p1,3,scenario_3,7.0
p2,3,scenario_3,26.0
p3,3,scenario_3,94.642857
p1,4,scenario_3,13.0
p2,4,scenario_3,55.0
p3,4,scenario_3,15.581633
p1,5,scenario_3,5.9222222
p2,5,scenario_3,0.0
p3,5,scenario_3,18.0
p1,6,scenario_3,0.0
p2,6,scenario_3,0.0
p3,6,scenario_3,0.0
p1,7,scenario_3,0.0
p2,7,scenario_3,0.0
p3,7,scenario_3,0.0
p1,8,scenario_3,0.0
p2,8,scenario_3,0.0
p3,8,scenario_3,15.44898
p1,9,scenario_3,0.0
p2,9,scenario_3,0.0
p3,9,scenario_3,0.0
p1,10,scenario_3,1.0
p2,10,scenario_3,7.0
p3,10,scenario_3,44.642857
p1,11,scenario_3,25.833333
p2,11,scenario_3,0.0
p3,11,scenario_3,0.0
p1,12,scenario_3,48.0
p2,12,scenario_3,1.0
p3,12,scenario_3,64.959184
p1,1,scenario_4,6.0
p2,1,scenario_4,20.0
p3,1,scenario_4,15.22449
p1,2,scenario_4,0.0
p2,2,scenario_4,-2.0018653e-12
p3,2,scenario_4,7.5612245
p1,3,scenario_4,7.0
p2,3,scenario_4,26.0
p3,3,scenario_4,94.642857
p1,4,scenario_4,13.0
p2,4,scenario_4,55.0
p3,4,scenario_4,15.581633
p1,5,scenario_4,5.9222222
p2,5,scenario_4,0.0
p3,5,scenario_4,18.0
p1,6,scenario_4,0.0
p2,6,scenario_4,0.0
p3,6,scenario_4,0.0
p1,7,scenario_4,0.0
p2,7,scenario_4,0.0
p3,7,scenario_4,0.0
p1,8,scenario_4,0.0
p2,8,scenario_4,0.0
p3,8,scenario_4,15.44898
p1,9,scenario_4,0.0
p2,9,scenario_4,0.0
p3,9,scenario_4,0.0
p1,10,scenario_4,1.0
p2,10,scenario_4,7.0
p3,10,scenario_4,44.642857
p1,11,scenario_4,25.833333
p2,11,scenario_4,-2.0018653e-12
p3,11,scenario_4,-1.9947598e-12
p1,12,scenario_4,48.0
p2,12,scenario_4,1.0
p3,12,scenario_4,64.959184
p1,1,scenario_5,6.0
p2,1,scenario_5,20.0
p3,1,scenario_5,15.22449
p1,2,scenario_5,0.0
p2,2,scenario_5,-4.0037305e-12
p3,2,scenario_5,7.5612245
p1,3,scenario_5,7.0
p2,3,scenario_5,26.0
p3,3,scenario_5,94.642857
p1,4,scenario_5,13.0
p2,4,scenario_5,55.0
p3,4,scenario_5,15.581633
p1,5,scenario_5,5.9222222
p2,5,scenario_5,0.0
p3,5,scenario_5,18.0
p1,6,scenario_5,0.0
p2,6,scenario_5,0.0
p3,6,scenario_5,0.0
p1,7,scenario_5,0.0
p2,7,scenario_5,0.0
p3,7,scenario_5,0.0
p1,8,scenario_5,0.0
p2,8,scenario_5,0.0
p3,8,scenario_5,15.44898
p1,9,scenario_5,0.0
p2,9,scenario_5,0.0
p3,9,scenario_5,0.0
p1,10,scenario_5,1.0
p2,10,scenario_5,7.0
p3,10,scenario_5,44.642857
p1,11,scenario_5,25.833333
p2,11,scenario_5,0.0
p3,11,scenario_5,-3.9895197e-12
p1,12,scenario_5,48.0
p2,12,scenario_5,1.0
p3,12,scenario_5,64.959184
p1,1,scenario_6,6.0
p2,1,scenario_6,20.0
p3,1,scenario_6,15.22449
p1,2,scenario_6,0.0
p2,2,scenario_6,0.0
p3,2,scenario_6,7.5612245
p1,3,scenario_6,7.0
p2,3,scenario_6,26.0
p3,3,scenario_6,94.642857
p1,4,scenario_6,13.0
p2,4,scenario_6,55.0
p3,4,scenario_6,15.581633
p1,5,scenario_6,5.9222222
p2,5,scenario_6,0.0
p3,5,scenario_6,18.0
p1,6,scenario_6,0.0
p2,6,scenario_6,0.0
p3,6,scenario_6,0.0
p1,7,scenario_6,0.0
p2,7,scenario_6,0.0
p3,7,scenario_6,0.0
p1,8,scenario_6,0.0
p2,8,scenario_6,0.0
p3,8,scenario_6,15.44898
p1,9,scenario_6,0.0
p2,9,scenario_6,0.0
p3,9,scenario_6,0.0
p1,10,scenario_6,1.0
p2,10,scenario_6,7.0
p3,10,scenario_6,44.642857
p1,11,scenario_6,25.833333
p2,11,scenario_6,0.0
p3,11,scenario_6,-5.9842795e-12
p1,12,scenario_6,48.0
p2,12,scenario_6,1.0
p3,12,scenario_6,64.959184
p1,1,scenario_7,6.0
p2,1,scenario_7,20.0
p3,1,scenario_7,15.22449
p1,2,scenario_7,0.0
p2,2,scenario_7,0.0
p3,2,scenario_7,7.5612245
p1,3,scenario_7,7.0
p2,3,scenario_7,26.0
p3,3,scenario_7,94.642857
p1,4,scenario_7,13.0
p2,4,scenario_7,55.0
p3,4,scenario_7,15.581633
p1,5,scenario_7,5.9222222
p2,5,scenario_7,0.0
p3,5,scenario_7,18.0
p1,6,scenario_7,0.0
p2,6,scenario_7,0.0
p3,6,scenario_7,0.0
p1,7,scenario_7,0.0
p2,7,scenario_7,0.0
p3,7,scenario_7,0.0
p1,8,scenario_7,0.0
p2,8,scenario_7,0.0
p3,8,scenario_7,15.44898
p1,9,scenario_7,0.0
p2,9,scenario_7,0.0
p3,9,scenario_7,0.0
p1,10,scenario_7,1.0
p2,10,scenario_7,7.0
p3,10,scenario_7,44.642857
p1,11,scenario_7,25.833333
p2,11,scenario_7,0.0
p3,11,scenario_7,-7.9790393e-12
p1,12,scenario_7,48.0
p2,12,scenario_7,1.0
p3,12,scenario_7,64.959184
p1,1,scenario_8,6.0
p2,1,scenario_8,20.0
p3,1,scenario_8,15.22449
p1,2,scenario_8,0.0
p2,2,scenario_8,0.0
p3,2,scenario_8,7.5612245
p1,3,scenario_8,7.0
p2,3,scenario_8,26.0
p3,3,scenario_8,94.642857
p1,4,scenario_8,13.0
p2,4,scenario_8,55.0
p3,4,scenario_8,15.581633
p1,5,scenario_8,5.9222222
p2,5,scenario_8,0.0
p3,5,scenario_8,18.0
p1,6,scenario_8,0.0
p2,6,scenario_8,0.0
p3,6,scenario_8,0.0
p1,7,scenario_8,0.0
p2,7,scenario_8,0.0
p3,7,scenario_8,0.0
p1,8,scenario_8,0.0
p2,8,scenario_8,0.0
p3,8,scenario_8,15.44898
p1,9,scenario_8,0.0
p2,9,scenario_8,0.0
p3,9,scenario_8,0.0
p1,10,scenario_8,1.0
p2,10,scenario_8,7.0
p3,10,scenario_8,44.642857
p1,11,scenario_8,25.833333
p2,11,scenario_8,0.0
p3,11,scenario_8,0.0
p1,12,scenario_8,48.0
p2,12,scenario_8,1.0
p3,12,scenario_8,64.959184
p1,1,scenario_9,6.0
p2,1,scenario_9,20.0
p3,1,scenario_9,15.22449
p1,2,scenario_9,0.0
p2,2,scenario_9,0.0
p3,2,scenario_9,7.5612245
p1,3,scenario_9,7.0
p2,3,scenario_9,26.0
p3,3,scenario_9,94.642857
p1,4,scenario_9,13.0
p2,4,scenario_9,55.0
p3,4,scenario_9,15.581633
p1,5,scenario_9,5.9222222
p2,5,scenario_9,0.0
p3,5,scenario_9,18.0
p1,6,scenario_9,0.0
p2,6,scenario_9,0.0
p3,6,scenario_9,0.0
p1,7,scenario_9,0.0
p2,7,scenario_9,0.0
p3,7,scenario_9,0.0
p1,8,scenario_9,0.0
p2,8,scenario_9,0.0
p3,8,scenario_9,15.44898
p1,9,scenario_9,0.0
p2,9,scenario_9,0.0
p3,9,scenario_9,0.0
p1,10,scenario_9,1.0
p2,10,scenario_9,7.0
p3,10,scenario_9,44.642857
p1,11,scenario_9,25.833333
p2,11,scenario_9,0.0
p3,11,scenario_9,0.0
p1,12,scenario_9,48.0
p2,12,scenario_9,1.0
p3,12,scenario_9,64.959184
p1,1,scenario_10,6.0
p2,1,scenario_10,20.0
p3,1,scenario_10,15.22449
p1,2,scenario_10,0.0
p2,2,scenario_10,0.0
p3,2,scenario_10,7.5612245
p1,3,scenario_10,7.0
p2,3,scenario_10,26.0
p3,3,scenario_10,94.642857
p1,4,scenario_10,13.0
p2,4,scenario_10,55.0
p3,4,scenario_10,15.581633
p1,5,scenario_10,5.9222222
p2,5,scenario_10,0.0
p3,5,scenario_10,18.0
p1,6,scenario_10,0.0
p2,6,scenario_10,0.0
p3,6,scenario_10,0.0
p1,7,scenario_10,0.0
p2,7,scenario_10,0.0
p3,7,scenario_10,0.0
p1,8,scenario_10,0.0
p2,8,scenario_10,0.0
p3,8,scenario_10,15.44898
p1,9,scenario_10,0.0
p2,9,scenario_10,0.0
p3,9,scenario_10,0.0
p1,10,scenario_10,1.0
p2,10,scenario_10,7.0
p3,10,scenario_10,44.642857
p1,11,scenario_10,25.833333
p2,11,scenario_10,0.0
p3,11,scenario_10,0.0
p1,12,scenario_10,48.0
p2,12,scenario_10,1.0
p3,12,scenario_10,64.959184
