product,period,scenario,optimal_underage
p1,1,scenario_1,12.0
p2,1,scenario_1,23.0
p3,1,scenario_1,0.0
p1,2,scenario_1,0.0
p2,2,scenario_1,13.0
p3,2,scenario_1,0.0
p1,3,scenario_1,0.0
p2,3,scenario_1,0.0
p3,3,scenario_1,0.0
p1,4,scenario_1,8.0
p2,4,scenario_1,0.0
p3,4,scenario_1,34.418367
p1,5,scenario_1,11.077778
p2,5,scenario_1,0.0
p3,5,scenario_1,0.0
p1,6,scenario_1,0.0
p2,6,scenario_1,42.0
p3,6,scenario_1,1.0
p1,7,scenario_1,0.0
p2,7,scenario_1,0.0
p3,7,scenario_1,0.0
p1,8,scenario_1,0.0
p2,8,scenario_1,3.0
p3,8,scenario_1,2.5510204
p1,9,scenario_1,0.0
p2,9,scenario_1,0.0
p3,9,scenario_1,0.0
p1,10,scenario_1,0.0
p2,10,scenario_1,0.0
p3,10,scenario_1,0.0
p1,11,scenario_1,11.166667
p2,11,scenario_1,19.0
p3,11,scenario_1,0.0
p1,12,scenario_1,0.0
p2,12,scenario_1,0.0
p3,12,scenario_1,0.0
p1,1,scenario_2,0.0
p2,1,scenario_2,0.0
p3,1,scenario_2,4.7755102
p1,2,scenario_2,0.0
p2,2,scenario_2,0.0
p3,2,scenario_2,1.4387755
p1,3,scenario_2,0.0
p2,3,scenario_2,0.0
p3,3,scenario_2,0.0
p1,4,scenario_2,0.0
p2,4,scenario_2,1.0
p3,4,scenario_2,0.0
p1,5,scenario_2,0.0
p2,5,scenario_2,0.0
p3,5,scenario_2,0.0
p1,6,scenario_2,10.611111
p2,6,scenario_2,62.0
p3,6,scenario_2,0.0
p1,7,scenario_2,0.0
p2,7,scenario_2,0.0
p3,7,scenario_2,0.0
p1,8,scenario_2,0.0
p2,8,scenario_2,0.0
p3,8,scenario_2,5.5510204
p1,9,scenario_2,0.0
p2,9,scenario_2,0.0
p3,9,scenario_2,1.0
p1,10,scenario_2,54.0
p2,10,scenario_2,2.0
p3,10,scenario_2,10.357143
p1,11,scenario_2,23.166667
p2,11,scenario_2,0.0
p3,11,scenario_2,9.0
p1,12,scenario_2,0.0
p2,12,scenario_2,0.0
p3,12,scenario_2,0.0
p1,1,scenario_3,0.0
p2,1,scenario_3,0.0
p3,1,scenario_3,0.0
p1,2,scenario_3,-1.0018653e-12
p2,2,scenario_3,0.0
p3,2,scenario_3,0.0
p1,3,scenario_3,0.0
p2,3,scenario_3,0.0
p3,3,scenario_3,0.0
p1,4,scenario_3,0.0
p2,4,scenario_3,0.0
p3,4,scenario_3,0.0
p1,5,scenario_3,0.0
p2,5,scenario_3,-1.9947598e-12
p3,5,scenario_3,0.0
p1,6,scenario_3,15.611111
p2,6,scenario_3,6.0005334e-12
p3,6,scenario_3,0.0
p1,7,scenario_3,21.6
p2,7,scenario_3,0.0
p3,7,scenario_3,-9.9475983e-13
p1,8,scenario_3,0.0
p2,8,scenario_3,0.0
p3,8,scenario_3,0.0
p1,9,scenario_3,15.0
p2,9,scenario_3,12.210526
p3,9,scenario_3,6.0111915e-12
p1,10,scenario_3,0.0
p2,10,scenario_3,0.0
p3,10,scenario_3,0.0
p1,11,scenario_3,0.0
p2,11,scenario_3,0.0
p3,11,scenario_3,0.0
p1,12,scenario_3,0.0
p2,12,scenario_3,0.0
p3,12,scenario_3,0.0
p1,1,scenario_4,0.0
p2,1,scenario_4,0.0
p3,1,scenario_4,0.0
p1,2,scenario_4,0.0
p2,2,scenario_4,0.0
p3,2,scenario_4,0.0
p1,3,scenario_4,0.0
p2,3,scenario_4,0.0
p3,3,scenario_4,0.0
p1,4,scenario_4,0.0
p2,4,scenario_4,0.0
p3,4,scenario_4,0.0
p1,5,scenario_4,0.0
p2,5,scenario_4,0.0
p3,5,scenario_4,0.0
p1,6,scenario_4,15.611111
p2,6,scenario_4,5.0004445e-12
p3,6,scenario_4,-9.9475983e-13
p1,7,scenario_4,21.6
p2,7,scenario_4,-9.9475983e-13
p3,7,scenario_4,-1.9895197e-12
p1,8,scenario_4,0.0
p2,8,scenario_4,0.0
p3,8,scenario_4,0.0
p1,9,scenario_4,15.0
p2,9,scenario_4,12.210526
p3,9,scenario_4,5.0093263e-12
p1,10,scenario_4,0.0
p2,10,scenario_4,0.0
p3,10,scenario_4,0.0
p1,11,scenario_4,0.0
p2,11,scenario_4,0.0
p3,11,scenario_4,0.0
p1,12,scenario_4,0.0
p2,12,scenario_4,0.0
p3,12,scenario_4,0.0
p1,1,scenario_5,0.0
p2,1,scenario_5,0.0
p3,1,scenario_5,0.0
p1,2,scenario_5,0.0
p2,2,scenario_5,0.0
p3,2,scenario_5,0.0
p1,3,scenario_5,0.0
p2,3,scenario_5,0.0
p3,3,scenario_5,0.0
p1,4,scenario_5,0.0
p2,4,scenario_5,0.0
p3,4,scenario_5,0.0
p1,5,scenario_5,0.0
p2,5,scenario_5,0.0
p3,5,scenario_5,0.0
p1,6,scenario_5,15.611111
p2,6,scenario_5,4.0003556e-12
p3,6,scenario_5,-1.9895197e-12
p1,7,scenario_5,21.6
p2,7,scenario_5,-1.9895197e-12
p3,7,scenario_5,-2.9842795e-12
p1,8,scenario_5,0.0
p2,8,scenario_5,0.0
p3,8,scenario_5,0.0
p1,9,scenario_5,15.0
p2,9,scenario_5,12.210526
p3,9,scenario_5,4.007461e-12
p1,10,scenario_5,0.0
p2,10,scenario_5,0.0
p3,10,scenario_5,0.0
p1,11,scenario_5,0.0
p2,11,scenario_5,0.0
p3,11,scenario_5,0.0
p1,12,scenario_5,0.0
p2,12,scenario_5,0.0
p3,12,scenario_5,0.0
p1,1,scenario_6,0.0
p2,1,scenario_6,0.0
p3,1,scenario_6,0.0
p1,2,scenario_6,0.0
p2,2,scenario_6,0.0
p3,2,scenario_6,0.0
p1,3,scenario_6,0.0
p2,3,scenario_6,0.0
p3,3,scenario_6,0.0
p1,4,scenario_6,0.0
p2,4,scenario_6,0.0
p3,4,scenario_6,0.0
p1,5,scenario_6,0.0
p2,5,scenario_6,0.0
p3,5,scenario_6,0.0
p1,6,scenario_6,15.611111
p2,6,scenario_6,3.0002667e-12
p3,6,scenario_6,-2.9842795e-12
p1,7,scenario_6,21.6
p2,7,scenario_6,-2.9842795e-12
p3,7,scenario_6,-3.9790393e-12
p1,8,scenario_6,0.0
p2,8,scenario_6,0.0
p3,8,scenario_6,0.0
p1,9,scenario_6,15.0
p2,9,scenario_6,12.210526
p3,9,scenario_6,3.0055958e-12
p1,10,scenario_6,0.0
p2,10,scenario_6,0.0
p3,10,scenario_6,0.0
p1,11,scenario_6,0.0
p2,11,scenario_6,0.0
p3,11,scenario_6,0.0
p1,12,scenario_6,0.0
p2,12,scenario_6,0.0
p3,12,scenario_6,0.0
p1,1,scenario_7,0.0
p2,1,scenario_7,0.0
p3,1,scenario_7,0.0
p1,2,scenario_7,0.0
p2,2,scenario_7,0.0
p3,2,scenario_7,0.0
p1,3,scenario_7,0.0
p2,3,scenario_7,0.0
p3,3,scenario_7,0.0
p1,4,scenario_7,0.0
p2,4,scenario_7,0.0
p3,4,scenario_7,0.0
p1,5,scenario_7,0.0
p2,5,scenario_7,0.0
p3,5,scenario_7,0.0
p1,6,scenario_7,15.611111
p2,6,scenario_7,2.0001778e-12
p3,6,scenario_7,-3.9790393e-12
p1,7,scenario_7,21.6
p2,7,scenario_7,-3.9790393e-12
p3,7,scenario_7,-4.9737992e-12
p1,8,scenario_7,0.0
p2,8,scenario_7,0.0
p3,8,scenario_7,0.0
p1,9,scenario_7,15.0
p2,9,scenario_7,12.210526
p3,9,scenario_7,2.0037305e-12
p1,10,scenario_7,0.0
p2,10,scenario_7,0.0
p3,10,scenario_7,0.0
p1,11,scenario_7,0.0
p2,11,scenario_7,0.0
p3,11,scenario_7,0.0
p1,12,scenario_7,0.0
p2,12,scenario_7,0.0
p3,12,scenario_7,0.0
p1,1,scenario_8,0.0
p2,1,scenario_8,0.0
p3,1,scenario_8,0.0
p1,2,scenario_8,0.0
p2,2,scenario_8,0.0
p3,2,scenario_8,0.0
p1,3,scenario_8,0.0
p2,3,scenario_8,0.0
p3,3,scenario_8,0.0
p1,4,scenario_8,0.0
p2,4,scenario_8,0.0
p3,4,scenario_8,0.0
p1,5,scenario_8,0.0
p2,5,scenario_8,0.0
p3,5,scenario_8,0.0
p1,6,scenario_8,15.611111
p2,6,scenario_8,1.0000889e-12
p3,6,scenario_8,-4.9737992e-12
p1,7,scenario_8,21.6
p2,7,scenario_8,9.9475983e-13
p3,7,scenario_8,0.0
p1,8,scenario_8,0.0
p2,8,scenario_8,0.0
p3,8,scenario_8,0.0
p1,9,scenario_8,15.0
p2,9,scenario_8,12.210526
p3,9,scenario_8,1.0018653e-12
p1,10,scenario_8,0.0
p2,10,scenario_8,0.0
p3,10,scenario_8,0.0
p1,11,scenario_8,0.0
p2,11,scenario_8,0.0
p3,11,scenario_8,0.0
p1,12,scenario_8,0.0
p2,12,scenario_8,0.0
p3,12,scenario_8,0.0
p1,1,scenario_9,0.0
p2,1,scenario_9,0.0
p3,1,scenario_9,0.0
p1,2,scenario_9,0.0
p2,2,scenario_9,0.0
p3,2,scenario_9,0.0
p1,3,scenario_9,0.0
p2,3,scenario_9,0.0
p3,3,scenario_9,0.0
p1,4,scenario_9,0.0
p2,4,scenario_9,0.0
p3,4,scenario_9,0.0
p1,5,scenario_9,0.0
p2,5,scenario_9,0.0
p3,5,scenario_9,0.0
p1,6,scenario_9,15.611111
p2,6,scenario_9,0.0
p3,6,scenario_9,-5.968559e-12
p1,7,scenario_9,21.6
p2,7,scenario_9,9.9475983e-13
p3,7,scenario_9,0.0
p1,8,scenario_9,0.0
p2,8,scenario_9,0.0
p3,8,scenario_9,0.0
p1,9,scenario_9,15.0
p2,9,scenario_9,12.210526
p3,9,scenario_9,0.0
p1,10,scenario_9,0.0
p2,10,scenario_9,0.0
p3,10,scenario_9,0.0
p1,11,scenario_9,0.0
p2,11,scenario_9,0.0
p3,11,scenario_9,0.0
p1,12,scenario_9,0.0
p2,12,scenario_9,0.0
p3,12,scenario_9,0.0
p1,1,scenario_10,0.0
p2,1,scenario_10,0.0
p3,1,scenario_10,0.0
p1,2,scenario_10,0.0
p2,2,scenario_10,0.0
p3,2,scenario_10,0.0
p1,3,scenario_10,0.0
p2,3,scenario_10,0.0
p3,3,scenario_10,0.0
p1,4,scenario_10,0.0
p2,4,scenario_10,0.0
p3,4,scenario_10,0.0
p1,5,scenario_10,0.0
p2,5,scenario_10,0.0
p3,5,scenario_10,0.0
p1,6,scenario_10,15.611111
p2,6,scenario_10,0.0
p3,6,scenario_10,9.9475983e-13
p1,7,scenario_10,21.6
p2,7,scenario_10,9.9475983e-13
p3,7,scenario_10,0.0
p1,8,scenario_10,1.0018653e-12
p2,8,scenario_10,0.0
p3,8,scenario_10,0.0
p1,9,scenario_10,15.0
p2,9,scenario_10,12.210526
p3,9,scenario_10,7.0130568e-12
p1,10,scenario_10,0.0
p2,10,scenario_10,0.0
p3,10,scenario_10,0.0
p1,11,scenario_10,0.0
p2,11,scenario_10,0.0
p3,11,scenario_10,0.0
p1,12,scenario_10,0.0
p2,12,scenario_10,0.0
p3,12,scenario_10,0.0
